	url	text	id	dot	title	published	date_raw
4368	http://neurostars.org/p/4368/	Hello, Nipype experts: I have a small question as the title, after run recon-all pipeline for 30 subjects, I want to read the last 1-4 lines from the recon-all.log file of every subject to one same destination, I know that I can use Node to write it in serialized, but for some reason, I want to use Mapnode, so this will be written in parallel, here is the code that I wrote: def recon_all_statistic	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15869dfb941:14c3484:1e99f69f	first-story	Nipype Mapnode to write to the same destination file after recon-all pipeline	Tue, 15 Nov 2016 19:23:26 GMT	published:Tue, 15 Nov 2016 19:23:26 GMT -- Received: Tue, 15 Nov 2016 21:23:39 GMT
4361	http://neurostars.org/p/4361/	Hello: Recently, I am new to learn diffusion MRI, so I followed the tutorial from here: http://nipype.readthedocs.io/en/stable/users/examples/dmri_camino_dti.html Basically, my mac has pre-installed most of the software that i need( Freesurfer, afni, spm, matlab...) After I run it, I got some errors and stderr: I dont know if it is because of some other softwares for visualisation, i installed Tra	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1585da33ec1:1ef98fa:36ad7c89	first-story	Forum: Nipype workflow tutorial dmri_camino_dti.py	Sun, 13 Nov 2016 11:27:49 GMT	published:Sun, 13 Nov 2016 11:27:49 GMT -- Received: Sun, 13 Nov 2016 12:22:09 GMT
4357	http://neurostars.org/p/4357/	 A new version of MRIQC has just been released in PyPi , along with corresponding docker images . We will try to update the documentation ASAP. For reporting bugs, please use the github repository: https://github.com/poldracklab/mriqc/issues . For general questions, feel free to use neurostars, github, mailing lists, etc. Thanks very much, looking forward to hearing some feedback :) The MRIQC deve	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_158549e83eb:117a90e:a36d59fd	first-story	News: Announcement: MRIQC 0.8.8 - release candidate 9 just published	Fri, 11 Nov 2016 17:52:50 GMT	published:Fri, 11 Nov 2016 17:52:50 GMT -- Received: Fri, 11 Nov 2016 18:20:24 GMT
4356	http://neurostars.org/p/4356/	" I'm using this L1 processing script (variant of this: https://github.com/nipy/nipype/blob/master/examples/fmri_ants_openfmri.py), and I noticed that the outliers that appear in the FSL design matrix, and specifically are dumped to /model/task/subj/qa/model/run01_run0.mat and run01_run0.png are not columns of 0's with a single 1. Instead, all the elements except the outlier volume are ""almost"" zer"	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15853f9ae39:102b81f:a36d59fd	first-story	FSL design matrix outliers not identically 0 and 1?	Fri, 11 Nov 2016 14:20:00 GMT	published:Fri, 11 Nov 2016 14:20:00 GMT -- Received: Fri, 11 Nov 2016 15:20:21 GMT
4355	http://neurostars.org/p/4355/	Reposting from spm email list: I have preprocessed and extracted timeseries ROIs of my data with a non spm pipeline, and am unsure how to interface this data with spm's dcm with respect to outliers. (I took intermediate outputs from here: https://github.com/gablab/openfmri/blob/master/subject_level/fmri_ants_bids.py) I have identified all the needed criteria for specifying the DCM variables initia	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15853f9ae39:102b81e:a36d59fd	first-story	Dynamic Causal Modeling (DCM) with outliers?	Fri, 11 Nov 2016 14:09:48 GMT	published:Fri, 11 Nov 2016 14:09:48 GMT -- Received: Fri, 11 Nov 2016 15:20:21 GMT
4346	http://neurostars.org/p/4346/	Hello: I just use SPM to realign one fmri images, here is the code: # -*- coding: utf-8 -*- import nipype.interfaces.spm as spm # import spm import nipype.pipeline.engine as pe # import pypeline engine # What is the location of your experiment folder experiment_dir = '/Users/junhao.wen/Hao/tutorial/Nipype/Michael_Notter/nipype_tutorial' # # Create a realign node - Method 1: Specify inputs during n	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1584aebe7c6:b521a0e:18bc4566	first-story	Forum: Nipype SPM realign error	Wed, 09 Nov 2016 21:00:53 GMT	published:Wed, 09 Nov 2016 21:00:53 GMT -- Received: Wed, 09 Nov 2016 21:08:44 GMT
4345	http://neurostars.org/p/4345/	 Hi all, I want to add regressors (e.g. right/wrong button presses) in an SPM design using spm.SpecifySPMModel(). In the bunched list where regressor_names and regressors are specified, to these have to be in the same format as the onsets and durations, i.e. do they have to be lists of lists (5 lists inside one list for 5 different conditions). I have one regressor value for each volume in the tim	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1584a471505:b3cabb0:18bc4566	first-story	spm.SpecifySPMModel(): Are behavioral regressors tied to onsets?	Wed, 09 Nov 2016 15:29:21 GMT	published:Wed, 09 Nov 2016 15:29:21 GMT -- Received: Wed, 09 Nov 2016 18:08:42 GMT
4337	http://neurostars.org/p/4337/	Hello, nipype experts: I have a question when i use Workflow's attribute base_dir, here is the code: if working_directory is None: working_directory = tempfile.mkdtemp() else : working_directory = working_directory # this is added later after None doesnt work surfstat_wf = pe.Workflow(name='surfstat_workflow', base_dir=working_directory) Basically, I know that for pe.Workflow , if we dont define b	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1583ff84e5c:9edd929:18bc4566	first-story	Forum: base_dir of Workflow in nipype does not work properly	Mon, 07 Nov 2016 17:01:19 GMT	published:Mon, 07 Nov 2016 17:01:19 GMT -- Received: Mon, 07 Nov 2016 18:06:27 GMT
4336	http://neurostars.org/p/4336/	Hello, nipype experts: I have a question when i use Workflow's attribute base_dir, here is the code: if working_directory is None: working_directory = tempfile.mkdtemp() else : working_directory = working_directory # this is added later after None doesnt work surfstat_wf = pe.Workflow(name='surfstat_workflow', base_dir=working_directory) Basically, I know that for pe.Workflow , if we dont define b	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1583ff84e5c:9edd928:18bc4566	first-story	Forum: base_dir of Workflow in nipype does not work properly	Mon, 07 Nov 2016 17:01:17 GMT	published:Mon, 07 Nov 2016 17:01:17 GMT -- Received: Mon, 07 Nov 2016 18:06:27 GMT
4321	http://neurostars.org/p/4321/	Hi. I am attempting to run mriqc (v0.8.6a7) locally on Mac OSX 10.11.5. I receive an error when trying to download a MRI tar file. Any suggestions? This occurs on two different laptops and different wireless connections. Thanks. $ mriqc /Users/mhutchi1/Desktop/QP_test/ds001_cut /Users/mhutchi1/Desktop/QP_test/ds001_cut/OUT participant 161104-14:25:06,492 workflow INFO: Running MRIQC-0.8.6a7 (analy	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1583127f7ec:86abf4b:18bc4566	first-story	mriqc - download failed while running	Fri, 04 Nov 2016 18:32:12 GMT	published:Fri, 04 Nov 2016 18:32:12 GMT -- Received: Fri, 04 Nov 2016 21:04:12 GMT
